,ADJOE,WAB,EFG_O,TOR,ORB,DRB,TORD,ADJDE,EFG_D,FTRD,ADJ_T,FTR,3P_D,2P_O,3P_O,W:G
1546,108.0,-10.3,45.0,16.4,35.4,35.6,18.0,110.9,52.5,42.3,69.3,33.4,35.7,44.5,30.6,0.323
1547,110.7,-5.8,49.9,14.7,24.0,31.6,16.6,103.9,48.8,42.0,67.1,40.6,31.5,47.1,36.3,0.514
1548,94.0,-16.0,48.8,20.9,26.5,34.9,16.1,114.0,52.5,29.9,65.2,40.6,37.0,48.9,32.4,0.259
1549,99.7,-9.9,47.6,17.9,33.2,31.5,20.0,104.6,50.8,38.7,66.8,41.2,33.2,47.2,32.5,0.5
1550,106.3,-9.4,48.4,19.8,31.7,29.9,17.8,102.4,50.1,47.3,66.9,40.1,33.5,47.0,35.2,0.355
1551,114.3,-1.6,51.1,17.9,31.9,32.1,18.2,100.0,47.9,52.4,65.1,44.8,33.3,51.8,33.1,0.545
1552,107.9,-1.8,48.9,20.0,35.3,29.8,16.0,99.0,45.9,43.4,64.5,54.1,31.9,47.5,34.9,0.588
1553,97.9,-14.5,48.8,17.9,30.3,30.3,18.1,110.1,51.8,32.8,66.7,36.9,34.9,48.4,33.0,0.387
1554,114.0,-2.2,53.1,11.9,24.9,34.1,20.1,104.3,49.6,36.0,66.0,38.8,34.3,51.1,38.0,0.719
1555,105.7,-4.5,47.8,18.4,32.7,28.5,15.4,97.9,47.4,37.9,66.2,34.4,33.2,48.0,31.5,0.485
1556,94.5,-19.3,46.5,21.9,30.6,36.1,18.3,122.4,57.4,40.5,68.4,40.5,37.9,45.3,32.5,0.148
1557,104.5,-8.7,49.2,18.9,27.4,29.2,14.5,111.5,49.8,40.0,67.1,52.1,35.4,47.0,35.1,0.444
1558,106.5,0.4,50.9,18.7,34.0,32.5,19.9,98.3,46.0,34.1,67.2,43.0,32.4,50.9,34.0,0.75
1559,95.5,-8.4,46.4,20.2,32.9,35.1,22.1,101.0,45.1,53.6,71.4,50.9,35.4,46.0,31.6,0.567
1560,101.2,-10.8,54.2,21.7,24.0,32.0,20.4,107.6,51.3,41.3,63.8,38.9,34.3,52.4,37.6,0.515
1561,109.9,-6.3,51.3,16.8,37.3,31.6,19.2,107.5,51.0,40.4,69.0,42.4,34.2,51.9,33.2,0.621
1562,105.8,-8.8,52.2,18.3,30.3,33.3,18.0,111.3,53.7,35.0,64.6,32.4,35.0,49.7,38.6,0.483
1563,105.0,-16.0,48.4,18.8,35.5,30.9,15.3,112.2,51.9,41.2,65.5,45.1,37.7,47.2,33.4,0.303
1564,104.2,-6.4,49.0,18.2,29.8,27.5,18.8,102.3,49.9,30.2,64.7,39.4,37.4,46.9,35.3,0.588
1565,110.7,-4.5,51.2,18.9,31.6,34.0,16.4,107.9,50.1,34.6,67.3,38.2,34.9,49.5,36.7,0.515
1566,91.5,-19.7,46.3,22.4,30.6,33.6,16.4,111.1,50.9,43.2,69.5,39.5,33.7,44.8,33.7,0.138
1567,87.6,-19.0,42.1,24.0,31.8,36.3,21.3,105.8,49.9,54.4,67.6,49.3,33.4,38.9,32.9,0.194
1568,104.9,-12.6,50.3,16.9,30.7,30.8,15.1,112.0,51.5,41.2,67.3,44.8,33.7,48.7,35.6,0.455
1569,103.1,-13.4,49.4,18.9,35.4,31.8,19.2,112.0,53.9,35.3,64.6,45.4,38.7,47.8,35.6,0.333
1570,105.4,0.3,46.5,16.5,31.2,29.3,18.7,93.1,48.1,32.2,63.1,31.2,34.3,45.9,31.7,0.571
1571,101.3,-18.3,46.1,19.0,30.4,28.1,16.6,108.1,53.1,49.9,66.4,39.2,37.8,44.8,32.6,0.138
1572,101.3,-7.0,46.9,18.0,26.9,30.5,20.2,99.7,48.8,42.3,68.5,40.7,35.4,47.5,30.8,0.515
1573,101.3,-4.5,52.3,18.4,31.2,30.0,19.5,111.5,51.0,41.5,69.6,41.3,41.9,50.6,37.1,0.6
1574,108.4,-2.1,49.9,21.8,37.2,28.0,17.8,94.7,46.2,35.5,69.5,45.3,29.9,49.1,34.4,0.531
1575,105.6,-1.6,50.4,17.2,27.0,28.0,17.6,101.0,49.0,43.7,66.7,43.3,35.0,49.8,34.3,0.656
1576,118.0,-2.5,57.4,14.8,26.1,35.6,16.7,107.8,50.6,29.4,70.3,38.0,34.1,55.8,39.6,0.667
1577,109.7,-4.3,55.3,18.7,32.1,27.5,17.8,107.5,52.1,32.2,67.5,41.7,34.8,54.0,38.4,0.667
1578,96.7,-19.8,46.5,17.2,22.7,31.9,15.3,113.9,54.1,33.2,66.3,32.6,37.0,46.8,30.4,0.103
1579,93.0,-15.3,45.2,21.9,33.4,30.3,21.2,106.5,49.4,55.8,67.1,40.3,34.7,45.6,29.3,0.355
1580,102.9,-12.8,48.9,19.4,32.7,35.2,18.9,116.6,55.7,38.9,69.7,42.2,39.0,48.3,33.5,0.357
1581,96.9,-15.8,46.4,17.5,31.1,34.7,19.3,111.5,53.7,47.6,62.8,41.4,38.7,45.9,31.6,0.276
1582,98.1,-13.5,45.7,18.8,29.7,31.8,18.4,106.5,49.1,44.4,65.5,47.4,35.1,48.2,27.3,0.355
1583,92.2,-19.8,47.2,23.8,31.0,34.8,18.1,111.0,51.2,47.3,67.9,38.3,33.8,45.3,34.0,0.138
1584,103.1,-10.1,49.4,18.3,30.4,31.5,19.6,106.1,48.9,47.6,66.6,37.0,34.5,47.3,35.1,0.484
1585,105.9,-5.2,46.4,17.5,33.1,32.5,17.6,99.4,48.1,32.1,64.7,39.1,33.1,45.3,32.5,0.484
1586,108.7,-13.7,53.7,18.9,27.4,33.7,17.7,115.2,54.3,35.8,66.3,33.3,37.2,50.6,39.7,0.333
1587,94.0,-21.2,46.7,20.2,27.6,34.2,18.5,112.6,54.5,38.5,68.8,39.8,37.9,46.8,30.8,0.133
1588,96.8,-11.5,48.8,18.0,26.1,32.4,16.8,104.0,48.1,31.1,66.2,32.7,34.0,46.5,35.9,0.438
1589,101.5,-16.7,49.9,20.5,38.0,29.9,15.1,111.9,51.0,38.1,64.6,34.5,35.0,48.4,35.7,0.276
1590,102.5,-9.8,51.3,17.5,25.8,31.5,20.1,111.3,54.2,48.7,70.4,47.9,35.1,49.7,35.5,0.483
1591,102.5,-15.2,49.4,18.6,31.0,33.9,15.6,118.3,54.6,30.9,68.1,37.8,39.0,47.8,34.5,0.31
1592,103.8,-7.9,48.6,18.2,34.5,33.5,18.7,102.8,49.8,37.2,66.4,30.8,32.9,49.1,31.6,0.433
1593,95.7,-19.0,47.1,18.8,26.8,35.3,18.2,117.1,55.7,44.4,68.4,30.9,37.7,45.6,34.1,0.143
1594,96.5,-10.2,47.0,19.7,30.3,31.3,16.5,103.9,49.2,38.2,63.4,35.5,33.3,47.0,31.4,0.346
1595,109.8,0.0,51.2,15.7,33.5,29.9,22.8,94.9,46.0,38.6,71.1,41.7,31.5,52.2,33.0,0.778
1596,102.3,-15.4,51.9,20.7,26.8,31.5,18.1,107.5,51.2,42.1,63.7,38.0,34.5,51.6,35.0,0.29
1597,104.7,-9.3,47.1,17.3,32.4,36.2,19.7,106.0,52.0,43.1,70.0,36.4,36.5,48.0,29.8,0.387
1598,96.1,-12.9,44.9,18.3,30.5,35.4,20.9,108.3,52.8,40.3,66.4,41.1,41.5,44.1,31.5,0.321
1599,111.3,-1.1,50.0,19.2,35.0,31.6,18.0,98.4,46.7,38.7,70.1,34.2,35.8,49.4,34.2,0.588
1600,94.1,-17.7,48.9,20.3,24.5,35.5,17.6,115.3,53.2,39.4,74.8,33.9,36.1,48.7,32.9,0.179
1601,100.4,-12.2,46.6,18.1,29.7,33.0,19.5,105.4,50.6,38.3,66.3,40.3,38.2,43.9,34.7,0.387
1602,109.8,-2.1,48.7,17.5,34.1,29.6,19.3,98.0,49.1,38.7,66.7,44.8,36.5,48.9,32.1,0.531
1603,99.8,-15.1,46.6,18.9,32.8,34.5,19.5,104.7,50.3,43.5,68.9,42.4,32.4,48.0,29.1,0.29
1604,108.1,-1.5,49.1,18.6,33.5,28.9,18.7,94.5,47.2,42.1,69.1,36.7,34.1,47.8,34.2,0.531
1605,99.2,-18.7,45.0,18.7,32.3,35.9,19.0,120.6,54.3,43.6,66.8,42.3,38.1,43.4,32.1,0.179
1606,96.2,-12.6,44.1,18.2,32.8,36.1,18.9,112.2,51.8,36.6,67.9,33.6,38.9,43.5,30.2,0.31
1607,109.8,-3.8,47.6,17.2,33.5,30.4,16.4,98.5,47.0,31.2,58.7,36.1,35.5,47.2,32.3,0.515
1608,98.6,-10.2,48.3,20.2,24.5,29.5,21.7,102.0,53.8,33.3,66.8,34.8,37.3,49.7,30.0,0.433
1609,104.7,-1.8,49.5,19.2,34.9,29.4,21.7,95.6,46.8,43.9,64.5,44.1,33.0,48.8,34.2,0.71
1610,114.4,0.5,51.6,18.1,31.4,31.2,18.7,98.4,48.7,40.2,65.0,39.7,34.4,50.6,35.5,0.649
1611,111.1,-2.7,48.2,15.9,33.1,35.5,19.9,102.0,48.4,43.3,69.8,39.6,34.7,46.5,33.9,0.576
1612,100.7,-9.0,48.5,20.2,28.6,31.5,20.3,102.5,51.1,33.0,68.4,43.3,32.6,49.5,30.7,0.424
1613,93.3,-18.1,45.3,20.3,29.9,32.0,18.6,115.5,54.8,49.3,72.9,36.1,37.2,44.7,31.1,0.207
1614,114.2,1.3,51.2,19.0,34.7,30.7,15.9,102.9,47.8,37.7,66.4,52.5,33.2,51.0,34.4,0.657
1615,105.2,-3.3,49.6,17.0,27.1,28.6,18.1,104.3,51.1,42.9,65.1,40.9,35.1,47.1,35.9,0.594
1616,95.7,-14.7,46.8,20.5,33.7,30.9,21.3,104.4,51.2,48.6,68.3,40.6,35.3,45.4,33.6,0.344
1617,106.8,-8.8,54.7,15.9,24.7,34.5,18.4,111.5,52.8,45.6,61.6,42.3,35.7,54.1,37.0,0.536
1618,94.7,-13.2,48.0,18.0,25.8,27.4,19.6,108.6,53.8,38.7,65.9,39.3,37.3,46.8,33.8,0.414
1619,101.9,-6.5,49.3,22.1,38.1,27.5,20.6,104.5,51.0,52.3,69.6,53.2,34.6,51.1,30.4,0.562
1620,99.8,-10.1,46.5,18.4,36.1,34.0,19.8,105.3,48.6,44.7,69.6,41.5,35.6,49.5,26.1,0.484
1621,109.1,-5.9,53.7,18.0,31.7,31.3,17.0,105.3,49.4,35.0,67.5,45.9,32.2,52.2,37.6,0.656
1622,93.7,-15.8,45.8,20.0,29.7,29.8,20.8,106.0,51.2,43.2,63.6,29.4,35.7,43.7,32.9,0.276
1623,103.7,-8.0,49.6,17.2,28.4,31.1,20.6,104.4,51.6,36.8,74.1,39.3,34.5,49.5,33.2,0.483
1624,109.1,-7.5,49.2,15.5,31.1,31.7,15.9,107.0,50.0,40.5,65.5,38.1,33.5,48.5,33.8,0.469
1625,89.4,-19.3,43.7,20.5,27.3,29.1,17.0,106.6,46.6,43.8,62.7,32.3,31.3,39.7,32.9,0.172
1626,94.7,-10.2,46.7,23.4,34.1,33.1,19.7,112.8,53.2,42.5,71.8,51.8,36.4,45.6,32.9,0.375
1627,100.5,-19.3,47.2,18.5,32.1,34.5,20.2,110.2,54.7,50.6,72.4,48.6,38.4,48.0,30.0,0.212
1628,97.4,-10.4,49.8,18.2,28.2,31.2,19.2,111.3,51.7,60.7,65.5,39.5,33.7,52.2,30.4,0.464
1629,95.1,-12.4,48.0,18.6,26.1,32.7,18.8,110.4,50.3,47.5,68.8,38.8,34.1,45.0,35.7,0.36
1630,101.9,-9.5,50.1,20.4,36.8,32.7,19.1,108.5,49.4,44.6,64.4,38.4,34.7,49.5,34.4,0.516
1631,93.1,-17.9,42.7,22.1,33.4,32.1,17.9,113.0,50.1,54.4,67.2,58.6,35.9,41.9,29.5,0.258
1632,103.7,-10.7,49.9,16.4,30.7,31.7,20.9,112.5,55.4,48.4,69.7,41.6,37.3,50.8,32.0,0.469
1633,101.8,-8.9,49.4,21.9,34.0,31.1,15.5,110.8,51.3,40.2,68.8,40.5,36.3,47.4,35.4,0.467
1634,99.7,-9.5,46.5,18.1,29.2,30.5,17.6,104.5,48.9,42.5,69.1,41.3,35.5,44.8,34.2,0.467
1635,100.6,-13.6,48.0,20.0,32.7,29.7,17.1,104.5,50.8,33.4,65.1,44.4,37.1,47.7,32.4,0.344
1636,99.9,-12.0,49.9,19.6,33.1,28.0,18.4,108.5,53.0,40.1,64.1,34.3,40.1,48.9,35.0,0.452
1637,108.3,-8.8,53.9,17.2,33.4,30.9,19.0,115.5,54.1,40.7,64.4,37.6,37.9,52.7,37.9,0.533
1638,94.1,-10.6,42.6,22.9,35.9,31.0,20.8,97.4,46.7,47.1,63.2,50.6,30.5,43.2,27.6,0.452
1639,113.1,-6.1,52.7,16.1,25.9,27.9,17.1,103.8,51.1,37.3,65.8,38.5,36.4,51.7,35.9,0.5
1640,102.5,-16.1,50.6,17.8,28.4,32.2,16.8,117.0,53.3,48.8,63.4,35.7,37.7,49.4,34.9,0.3
1641,98.8,-4.2,46.1,17.3,22.5,30.6,16.4,94.7,45.9,38.0,62.0,35.5,31.5,46.1,30.6,0.424
1642,107.1,-7.4,51.3,17.0,32.6,36.1,20.0,109.8,52.1,42.9,75.8,39.8,36.2,51.4,34.0,0.517
1643,113.5,-4.6,51.7,15.9,32.1,30.1,16.8,104.9,51.4,32.1,64.7,30.0,38.5,50.7,35.8,0.469
1644,109.0,-10.7,50.2,16.1,25.0,30.4,19.7,111.0,57.1,42.9,68.6,37.7,39.3,47.0,36.6,0.355
1645,106.0,-4.2,52.4,19.1,27.4,30.1,18.3,102.8,46.2,41.5,65.9,34.3,31.5,52.3,35.1,0.667
1646,100.2,-9.1,47.7,20.4,33.2,29.5,19.7,100.4,47.8,44.6,64.2,39.3,35.8,47.2,32.6,0.5
1647,107.6,-8.9,50.4,17.0,32.9,30.8,16.3,108.9,48.8,42.8,64.9,41.9,37.3,49.4,35.8,0.484
1648,113.2,-3.7,54.1,19.5,30.7,32.0,15.2,105.2,50.6,36.8,67.3,50.9,36.8,52.3,39.2,0.5
1649,108.4,-6.1,50.3,18.0,31.2,26.8,17.3,106.9,52.9,52.7,67.7,40.6,38.7,48.4,36.2,0.515
1650,98.6,-12.9,49.7,22.9,28.6,34.5,18.2,105.7,48.9,49.5,70.1,39.1,38.3,50.3,32.1,0.286
1651,110.2,-3.7,48.3,15.8,29.9,28.7,16.4,100.4,47.7,47.9,66.2,39.4,35.2,48.6,31.9,0.471
1652,107.1,-7.5,51.1,18.1,30.9,32.4,15.1,106.8,50.0,38.3,66.9,39.0,36.7,49.5,36.2,0.467
1653,108.7,-7.6,50.9,17.1,32.1,29.3,16.7,103.0,49.0,43.9,67.2,39.5,36.9,47.9,39.4,0.484
1654,101.5,-10.4,51.7,17.1,26.3,32.5,19.5,111.5,53.3,41.5,66.5,39.6,36.4,50.5,36.1,0.5
1655,95.4,-17.2,46.8,20.4,31.1,36.9,19.5,112.8,51.8,50.1,67.5,40.6,34.7,44.8,33.9,0.303
1656,94.6,-21.7,50.1,19.1,21.6,34.5,15.0,118.2,54.1,28.3,65.4,30.6,37.7,49.2,34.7,0.133
1657,105.1,-2.5,52.8,17.1,25.0,25.1,18.8,98.1,48.0,37.4,64.8,38.0,32.8,52.1,35.7,0.69
1658,108.6,-3.8,47.2,17.8,36.3,30.6,16.4,100.2,47.8,41.9,69.0,37.5,33.0,46.2,33.2,0.452
1659,110.3,-4.9,46.8,17.6,41.9,27.2,12.0,109.9,48.0,36.2,69.9,48.1,34.7,44.6,35.7,0.625
1660,107.1,-8.1,51.9,15.8,31.5,31.5,17.5,113.7,52.4,39.0,67.8,40.4,38.3,51.3,35.7,0.594
1661,103.6,-6.2,48.6,20.8,32.9,31.3,17.4,98.6,46.9,43.0,66.4,46.2,28.6,49.2,31.5,0.452
1662,95.1,-16.3,48.2,19.6,21.3,30.5,16.8,105.8,49.5,46.4,64.1,31.9,34.7,47.9,32.4,0.179
1663,104.1,-3.0,48.1,16.2,25.9,34.3,20.0,96.9,45.9,40.4,64.0,41.0,30.1,48.0,32.2,0.576
1664,105.2,-10.5,50.6,19.0,31.2,31.6,19.2,111.1,53.9,43.8,67.1,45.7,38.5,45.7,39.7,0.452
1665,104.6,-6.2,50.4,17.0,30.9,31.6,19.1,105.9,51.8,38.4,66.2,36.6,33.5,46.5,38.5,0.611
1666,104.7,-9.9,47.0,18.2,32.5,32.9,17.8,106.2,51.4,45.0,68.5,36.6,37.4,46.0,32.9,0.344
1667,104.0,-12.1,50.9,17.6,29.9,31.1,18.1,110.4,52.7,48.5,64.3,35.1,34.9,48.8,37.0,0.429
1668,98.0,-21.2,46.7,17.6,32.4,33.0,18.4,112.6,52.3,44.2,68.0,35.7,34.2,45.5,32.7,0.161
1669,111.9,-1.8,51.4,18.2,35.8,29.7,18.1,99.8,49.7,40.9,63.3,48.0,34.2,48.3,38.1,0.647
